R1_PWRUSB,106.44,35.72,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,64.76,13.91,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,163.58,4.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,146.86,50.53,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,108.81,41.36,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,87.23,58.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,138.86,47.32,180.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.68,12.06,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.57,13.87,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,31.86,39.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,46.01,23.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,44.32,24.06,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,41.69,24.06,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,65.84,24.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,66.04,109.14,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,28.04,108.97,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.32,49.22,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,45.72,109.22,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,67.25,24.31,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,62.78,109.22,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,160.12,9.02,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.77,11.43,0.00,,SJ
TP1,132.08,60.96,0.00,TPTP20R,TP20R
TP10,121.92,7.62,0.00,TPTP20R,TP20R
TP11,77.47,102.87,0.00,TPTP20R,TP20R
TP12,113.03,7.62,0.00,TPTP20R,TP20R
TP13,6.35,54.61,0.00,TPTP20R,TP20R
TP14,6.35,63.50,0.00,TPTP20R,TP20R
TP15,6.35,59.69,0.00,TPTP20R,TP20R
TP16,87.63,102.87,0.00,TPTP20R,TP20R
TP17,82.55,102.87,0.00,TPTP20R,TP20R
TP2,132.08,64.77,0.00,TPTP20R,TP20R
TP3,165.10,27.94,0.00,TPTP20R,TP20R
TP4,165.10,33.02,0.00,TPTP20R,TP20R
TP5,129.84,50.12,0.00,TPTP20R,TP20R
TP6,43.18,10.16,0.00,TPTP20R,TP20R
TP7,38.10,10.16,0.00,TPTP20R,TP20R
TP8,33.02,10.16,0.00,TPTP20R,TP20R
TP9,165.10,36.83,0.00,TPTP20R,TP20R
U1,112.53,45.72,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,SOT95P280X125-5N
U2,15.70,38.10,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,122.92,48.26,0.00,MAX17048G+T10,SON50P200X200X80-9N
U4,78.74,53.34,270.00,DS3231SN#,SOIC127P1032X265-16N
U5,33.02,44.45,0.00,W25Q512JVEIQ,SON50P200X200X80-9N
